market_ids,clustering_ids,car_ids,firm_ids,region,shares,prices,hpwt,air,mpd,mpg,space,trend,demand_instruments0,demand_instruments1,demand_instruments2,demand_instruments3,demand_instruments4,demand_instruments5,demand_instruments6,demand_instruments7,supply_instruments0,supply_instruments1,supply_instruments2,supply_instruments3,supply_instruments4,supply_instruments5,supply_instruments6,supply_instruments7,supply_instruments8,supply_instruments9,supply_instruments10,supply_instruments11
1971,AMGREM71,129,15,US,0.001051293,4.935802469,0.528996865,0,1.888145604,1.697,1.1502,0,4,1.840966835,0,6.844945055,87,44.55553908,0,167.3250824,4,-3.109717537,0,1.705933365,1.595655908,87,-61.95998473,0,46.06038918,29.78698898,0,1.888145604
1971,AMHORN71,130,15,US,0.000670076,5.516049383,0.494324423,0,1.935989011,1.74,1.278,0,4,1.875639277,0,6.797101648,87,44.55553908,0,167.3250824,4,-3.04192706,0,1.680910238,1.490295392,87,-61.95998473,0,46.06038918,29.78698898,0,1.935989011
1971,AMJAVL71,132,15,US,0.000340527,7.108641975,0.46761344,0,1.716799451,1.543,1.4592,0,4,1.902350261,0,7.016291209,87,44.55553908,0,167.3250824,4,-2.986377002,0,1.801066777,1.357703408,87,-61.95998473,0,46.06038918,29.78698898,0,1.716799451
1971,AMMATA71,134,15,US,0.000522242,6.839506173,0.426540284,0,1.687870879,1.517,1.6068,0,4,1.943423416,0,7.04521978,87,44.55553908,0,167.3250824,4,-2.894441847,0,1.81806065,1.261347125,87,-61.95998473,0,46.06038918,29.78698898,0,1.687870879
1971,AMAMBS71,136,15,US,0.000442423,8.928395062,0.452488688,0,1.504285714,1.352,1.6458,0,4,1.917475012,0,7.228804945,87,44.55553908,0,167.3250824,4,-2.953497794,0,1.933210373,1.23736516,87,-61.95998473,0,46.06038918,29.78698898,0,1.504285714
1971,BKSKYL71,138,19,US,0.002756059,7.15308642,0.450870647,0,1.726813187,1.552,1.6224,0,28,16.96480914,0,49.32098901,63,29.50982299,0,125.0103709,28,-14.86246143,0,12.63764345,13.77707361,63,-50.04743881,0,35.21799666,17.26160059,0,1.726813187
1971,BKLSAB71,141,19,US,0.002650594,9.856790123,0.564001962,0,1.727925824,1.553,1.768,0,28,16.85167783,0,49.31987637,63,29.50982299,0,125.0103709,28,-15.08633867,0,12.63699933,13.69113118,63,-50.04743881,0,35.21799666,17.26160059,0,1.727925824
1971,BKCNTU71,143,19,US,0.000487342,11.2691358,0.731367541,0,2.194120879,1.972,1.768,0,28,16.68431225,0,48.85368132,63,29.50982299,0,125.0103709,28,-15.34619707,0,12.39813962,13.69113118,63,-50.04743881,0,35.21799666,17.26160059,0,2.194120879
1971,BKELCT71,144,19,US,0.002415127,12.13580247,0.719013924,0,2.056153846,1.848,1.816,0,28,16.69666587,0,48.99164835,63,29.50982299,0,125.0103709,28,-15.32916167,0,12.4630839,13.66434386,63,-50.04743881,0,35.21799666,17.26160059,0,2.056153846
1971,BKRIVE71,145,19,US,0.000551398,12.97037037,0.728323699,0,1.978269231,1.778,1.744,0,28,16.68735609,0,49.06953297,63,29.50982299,0,125.0103709,28,-15.34202654,0,12.50169874,13.70479882,63,-50.04743881,0,35.21799666,17.26160059,0,1.978269231
